username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
missroma23;2018-10-20 11:02;0;0;"Hoje é o dia mundial de combate ao bullying Ensine a criança presente na sua família a praticar o respeito pois educação e um trabalho de casa+escola em… https://www.instagram.com/p/BpKFYO7A-EVVrsD1FlMM8WUB7P-YhybK9G5cjo0/?utm_source=ig_twitter_share&igshid=mn597ygbfmgu …";;;;"1053647754226999296";https://twitter.com/missroma23/status/1053647754226999296
MeuBreniN;2018-04-11 17:31;2;9;"Live @ marcos_harter definições de live, almoço, salário, trabalho, App, nariz sem bullying. (… https://www.instagram.com/p/BhcZQT8BBIu/";;@;;"984167138863677440";https://twitter.com/MeuBreniN/status/984167138863677440
guileles;2018-04-06 06:39;0;0;"PROGRAMA DE PREVENÇÃO E COMBATE AO BULLYING E CYBERBULLYING Iniciamos um trabalho que ira… https://www.instagram.com/p/BhOWreJAqcG/";;;;"982191147169665025";https://twitter.com/guileles/status/982191147169665025
renatazevedo;2017-10-26 12:03;0;1;"Trabalho realizado com a turma do 6º ano da escola que trabalho sobre Bullying. Tema de grande… https://www.instagram.com/p/Baty6aTgISl/";;;;"923565701440290817";https://twitter.com/renatazevedo/status/923565701440290817
monise_reis;2017-07-05 10:42;0;0;"Bullying no ambiente de trabalho? Sim, fazemos. @E/OU-MRM https://www.instagram.com/p/BWKr1TOnWOB/";;@E;;"882595534820790272";https://twitter.com/monise_reis/status/882595534820790272
andre_almeida29;2017-06-06 12:51;0;0;"Quando você é careca e vem de terno pro trabalho e tem que encarar "bullying" dos amiguinhos de… https://www.instagram.com/p/BVAPhxPAnFC/";;;;"872118695203680256";https://twitter.com/andre_almeida29/status/872118695203680256
Nat_Rodrigues98;2017-05-12 08:46;0;0;"Bullying existe até no trabalho,acredite";;;;"862997363383816192";https://twitter.com/Nat_Rodrigues98/status/862997363383816192
vansderlei;2016-08-11 13:49;0;0;"Quando você acha q o Bullying ficou na época de escola, ele da as caras no trabalho. @Wintime… https://www.instagram.com/p/BI-cjIehh4g/";;@Wintime;;"763779460969537537";https://twitter.com/vansderlei/status/763779460969537537
LaraGrossmann;2016-06-06 01:18;0;0;"Minha querida colega de trabalho fazendo bullying comigo pic.twitter.com/gxAUzlTzwY";;;;"739672763720474624";https://twitter.com/LaraGrossmann/status/739672763720474624
MayaCMoura;2016-05-06 14:32;0;0;"O cúmulo do bullying no trabalho. # VireiAElsa @Editora Record https://www.instagram.com/p/BFEwRgJM6ve/";;@Editora;#;"728638461419397121";https://twitter.com/MayaCMoura/status/728638461419397121
